timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2026-06-01 00:00:00,-30076558340743126629,29834844,-276410,-276410,-276410,-276410,0,29834844,0
2026-06-01 00:05:00,-39965553138813861678,39644587,-276410,-276410,-276410,-276410,0,39644587,0
2026-06-01 00:29:00,-36626433344313924208,36332507,-276410,-276410,-276410,-276410,0,36332507,0
2026-06-01 01:52:00,51650104354065378919,-51184328,-276410,-276410,-276410,-276410,51650104354065378919,0,0
2026-06-01 01:55:00,229282460899678134292,-227208727,-276412,-276412,-276412,-276412,229282460899678134292,0,0
2026-06-01 03:00:00,-31253001504179208859,31000000,-276410,-276410,-276410,-276410,0,31000000,0
2026-06-01 03:08:00,-31812254200326132822,31555872,-276410,-276410,-276410,-276410,0,31555872,0
2026-06-01 03:09:00,-41553179567573642420,41218536,-276410,-276410,-276410,-276410,0,41218536,0
2026-06-01 03:41:00,-957636161684335079134,950000000,-276409,-276409,-276409,-276409,0,950000000,0
2026-06-01 05:28:00,46049187449664347133,-45639656,-276409,-276409,-276409,-276409,46049187449664347133,0,0
2026-06-01 06:22:00,101812004198286186800,-100905359,-276409,-276409,-276409,-276409,101812004198286186800,0,0
2026-06-01 06:37:00,145696100934872472233,-144395801,-276409,-276409,-276409,-276409,145696100934872472233,0,0
2026-06-01 06:45:00,162024518495894677849,-160574535,-276410,-276410,-276410,-276410,162024518495894677849,0,0
2026-06-01 06:54:00,41775327254165323612,-41400797,-276410,-276410,-276410,-276410,41775327254165323612,0,0
2026-06-01 07:14:00,43696709492683470531,-43304657,-276410,-276410,-276410,-276410,43696709492683470531,0,0
2026-06-01 07:31:00,36811715472217798063,-36481201,-276410,-276410,-276410,-276410,36811715472217798063,0,0
2026-06-01 07:46:00,8759145789459900617,-8680470,-276410,-276410,-276410,-276410,8759145789459900617,0,0
2026-06-01 07:57:00,40341190587708232674,-39978683,-276410,-276410,-276410,-276410,40341190587708232674,0,0
2026-06-01 08:39:00,5326595240561392094,-5278711,-276410,-276410,-276410,-276410,5326595240561392094,0,0
2026-06-01 08:48:00,393510415410248701508,-389960436,-276410,-276410,-276410,-276410,393510415410248701508,0,0
2026-06-01 13:34:00,14233752061132290592,-14104884,-276410,-276410,-276410,-276410,14233752061132290592,0,0
2026-06-01 14:00:00,-87290184361340969104,86586960,-276410,-276410,-276410,-276410,0,86586960,0
2026-06-01 23:58:00,-13057874196744050647,12952783,-276410,-276410,-276410,-276410,0,12952783,0
