timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2026-04-11 00:10:00,-199990000,200022890210670799814,276325,276325,276325,276325,0,200022890210670799814,520055937931760242497
2026-04-11 00:17:00,-2281743735,2282108098004807667735,276325,276325,276325,276325,0,2282108098004807667735,520055937931760242497
2026-04-11 00:27:00,-1323449503,1323651662338991328667,276325,276325,276325,276325,0,1323651662338991328667,520055937931760242497
2026-04-11 00:49:00,-250999341,251036920687502775081,276325,276325,276325,276325,0,251036920687502775081,520055937931760242497
2026-04-11 00:50:00,-513682575,513758729679495943653,276325,276325,276325,276325,0,513758729679495943653,520055937931760242497
2026-04-11 00:53:00,-299962438,300006438905258061890,276325,276325,276325,276325,0,300006438905258061890,520055937931760242497
2026-04-11 00:55:00,-597963348,595559938422978529121,276275,276276,276275,276325,99688366157,100277187442923095785070,5970700768539807207
2026-04-11 00:58:00,-340000000,340049065625921715917,276325,276325,276325,276325,0,340049065625921715917,520055937931760242497
2026-04-11 01:08:00,-100000000,100014346442104750737,276325,276325,276325,276325,0,100014346442104750737,520055937931760242497
2026-04-11 01:09:00,-3200000000,3200438776447239515997,276325,276325,276325,276325,0,3200438776447239515997,520055937931760242497
2026-04-11 01:14:00,-505820000,505885750849268849616,276325,276325,276325,276325,0,505885750849268849616,520055937931760242497
2026-04-11 01:17:00,331405633,-331451916677105700864,276325,276325,276325,276325,331405633,0,520055937931760242497
2026-04-11 02:15:00,7687793660,-7688985881278928855435,276325,276325,276325,276325,7687793660,0,520055937931760242497
2026-04-11 02:17:00,-34525076,34530592653412799835,276325,276325,276325,276325,0,34530592653412799835,520055937931760242497
2026-04-11 02:21:00,-5346334995,5347133997318603847364,276325,276325,276325,276325,0,5347133997318603847364,520055937931760242497
2026-04-11 02:39:00,-160000000,160022217345882833313,276325,276325,276325,276325,0,160022217345882833313,520055937931760242497
2026-04-11 02:40:00,99322749,-99337522649827532293,276325,276325,276325,276325,99322749,0,520055937931760242497
2026-04-11 03:16:00,5407067628,-5407929156637016148562,276325,276325,276325,276325,5407067628,0,520055937931760242497
2026-04-11 03:17:00,-3878720000,3879310618651334685637,276325,276325,276325,276325,0,3879310618651334685637,520055937931760242497
2026-04-11 03:25:00,-10000000,10001447924743799149,276325,276325,276325,276325,0,10001447924743799149,520055937931760242497
2026-04-11 03:29:00,-535035245,535112152399264823710,276325,276325,276325,276325,0,535112152399264823710,520055937931760242497
2026-04-11 03:34:00,3617426219,-3618003828868000000000,276325,276325,276325,276325,3617426219,0,520055937931760242497
2026-04-11 03:39:00,-4066265234,4066870331733819497489,276325,276325,276325,276325,0,4066870331733819497489,520055937931760242497
2026-04-11 03:40:00,818989943,-819114892894331001343,276325,276325,276325,276325,818989943,0,520055937931760242497
2026-04-11 03:43:00,-3183697,3184155794163291936,276325,276325,276325,276325,0,3184155794163291936,520055937931760242497
2026-04-11 03:54:00,-7826717,7827844055649102472,276325,276325,276325,276325,0,7827844055649102472,520055937931760242497
2026-04-11 04:13:00,-3060047,3060487224907807088,276325,276325,276325,276325,0,3060487224907807088,520055937931760242497
2026-04-11 04:15:00,-22560654,22563903475386314884,276325,276325,276325,276325,0,22563903475386314884,520055937931760242497
2026-04-11 04:17:00,-961083004,961219621129543069058,276325,276325,276325,276325,0,961219621129543069058,520055937931760242497
2026-04-11 04:35:00,-747684632,747788457403335774641,276325,276325,276325,276325,0,747788457403335774641,520055937931760242497
