timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2026-07-27 00:00:00,-1239740949761861859559,1239662712,-276325,-276325,-276325,-276325,0,1239662712,7508211920007718833589
2026-07-27 00:03:00,-110759932587219128019,110752922,-276325,-276325,-276325,-276325,0,110752922,7508211920007718833589
2026-07-27 00:04:00,-566319790786657898528,566283898,-276325,-276325,-276325,-276325,0,566283898,7508211920007718833589
2026-07-27 00:09:00,-569287218122797800239,569251051,-276325,-276325,-276325,-276325,0,569251051,7508211920007718833589
2026-07-27 00:11:00,-1099913901365665719796,1099843780,-276325,-276325,-276325,-276325,0,1099843780,7508211920007718833589
2026-07-27 00:13:00,-1221691237893514779870,1221612974,-276325,-276325,-276325,-276325,0,1221612974,7508211920007718833589
2026-07-27 00:14:00,-1711231189635552831271,1711120898,-276325,-276325,-276325,-276325,0,1711120898,7508211920007718833589
2026-07-27 00:15:00,-37559941186563179740,37557511,-276325,-276325,-276325,-276325,0,37557511,7508211920007718833589
2026-07-27 00:17:00,-2653510507978995693106,2653337916,-276325,-276325,-276325,-276325,0,2653337916,7508211920007718833589
2026-07-27 00:18:00,-142726908481055241864,142717571,-276325,-276325,-276325,-276325,0,142717571,7508211920007718833589
2026-07-27 00:19:00,-387837004275265955254,387811606,-276325,-276325,-276325,-276325,0,387811606,7508211920007718833589
2026-07-27 00:20:00,-136261019443781590215,136252086,-276325,-276325,-276325,-276325,0,136252086,7508211920007718833589
2026-07-27 00:21:00,-1132976376807607691164,1132901912,-276325,-276325,-276325,-276325,0,1132901912,7508211920007718833589
2026-07-27 00:24:00,-900175281114499051297,900115873,-276325,-276325,-276325,-276325,0,900115873,7508211920007718833589
2026-07-27 00:30:00,-224515108601277642141,224500258,-276325,-276325,-276325,-276325,0,224500258,7508211920007718833589
2026-07-27 00:31:00,-959179570462581541304,959115974,-276325,-276325,-276325,-276325,0,959115974,7508211920007718833589
2026-07-27 00:32:00,-200000000000000000000,199986708,-276325,-276325,-276325,-276325,0,199986708,7508211920007718833589
2026-07-27 00:36:00,-45103814057840288613,45100815,-276325,-276325,-276325,-276325,0,45100815,7508211920007718833589
2026-07-27 00:37:00,-681322548966218949965,681277182,-276325,-276325,-276325,-276325,0,681277182,7508211920007718833589
2026-07-27 00:38:00,-440941362060387919437,440907079,-276325,-276325,-276325,-276325,97110070032735860245,538015517,7508211920007718833589
2026-07-27 00:39:00,-151005101975207235825,150995012,-276325,-276325,-276325,-276325,0,150995012,7508211920007718833589
2026-07-27 00:40:00,-1154770652134764200649,1154693295,-276325,-276325,-276325,-276325,0,1154693295,7508211920007718833589
2026-07-27 00:42:00,-838280098293909291008,838223720,-276325,-276325,-276325,-276325,0,838223720,7508211920007718833589
2026-07-27 00:43:00,-48892967211656888181,48889673,-276325,-276325,-276325,-276325,0,48889673,7508211920007718833589
2026-07-27 00:44:00,-151138807010455269770,151128620,-276325,-276325,-276325,-276325,0,151128620,7508211920007718833589
2026-07-27 00:45:00,-352224729727650327660,352200966,-276325,-276325,-276325,-276325,0,352200966,7508211920007718833589
2026-07-27 00:48:00,-227248512979423980972,227233163,-276325,-276325,-276325,-276325,0,227233163,7508211920007718833589
2026-07-27 00:49:00,-147682186010061252984,147672203,-276325,-276325,-276325,-276325,0,147672203,7508211920007718833589
2026-07-27 00:50:00,-10084007790825579977355,10083312442,-276325,-276325,-276325,-276325,0,10083312442,7508211920007718833589
2026-07-27 00:51:00,-21958971011705273089192,21957363116,-276325,-276325,-276325,-276325,0,21957363116,7508211920007718833589
2026-07-27 00:52:00,-290740818435085628299,290718668,-276325,-276325,-276325,-276325,0,290718668,7508211920007718833589
2026-07-27 00:55:00,-150188156356086005287,150176705,-276325,-276325,-276325,-276325,0,150176705,7508211920007718833589
2026-07-27 00:56:00,-4486166263112581107022,4485821446,-276325,-276325,-276325,-276325,0,4485821446,7508211920007718833589
2026-07-27 00:57:00,-135697513069612339516,135686999,-276325,-276325,-276325,-276325,0,135686999,7508211920007718833589
2026-07-27 00:59:00,-640743150085908856622,640693440,-276325,-276325,-276325,-276325,0,640693440,7508211920007718833589
2026-07-27 01:00:00,-82501662603459573140,82495254,-276325,-276325,-276325,-276325,0,82495254,7508211920007718833589
2026-07-27 01:01:00,-60246296772393782383,60241615,-276325,-276325,-276325,-276325,0,60241615,7508211920007718833589
2026-07-27 01:02:00,-74093159153540896095,74087401,-276325,-276325,-276325,-276325,0,74087401,7508211920007718833589
2026-07-27 01:03:00,-56310823946189539555,56306446,-276325,-276325,-276325,-276325,0,56306446,7508211920007718833589
2026-07-27 01:05:00,-86525017889968829204,86518290,-276325,-276325,-276325,-276325,0,86518290,7508211920007718833589
2026-07-27 01:09:00,-1135467177035141052212,1135378709,-276325,-276325,-276325,-276325,0,1135378709,7508211920007718833589
2026-07-27 01:10:00,-57057019843521857770,57052565,-276325,-276325,-276325,-276325,0,57052565,7508211920007718833589
2026-07-27 01:13:00,-1226742372624910170109,1226646388,-276325,-276325,-276325,-276325,0,1226646388,7508211920007718833589
2026-07-27 01:16:00,-150437649680571575464,150425851,-276325,-276325,-276325,-276325,0,150425851,7508211920007718833589
2026-07-27 01:17:00,40428028845312262382776,-40427117466,-276325,-276325,-276325,-276325,40849142341754921009296,421085018,7508211920007718833589
2026-07-27 01:18:00,-891605987327189999668,891545538,-276325,-276325,-276325,-276325,0,891545538,7508211920007718833589
2026-07-27 01:21:00,-1000379207891653796191,1000311133,-276325,-276325,-276325,-276325,0,1000311133,7508211920007718833589
2026-07-27 01:22:00,-754704112104986341987,754652578,-276325,-276325,-276325,-276325,0,754652578,7508211920007718833589
2026-07-27 01:25:00,-8719158121473626364129,8718551751,-276325,-276325,-276325,-276325,0,8718551751,7508211920007718833589
2026-07-27 01:29:00,-75404133010375021440,75398798,-276325,-276325,-276325,-276325,0,75398798,7508211920007718833589
2026-07-27 01:35:00,-11343036815453783365,11342234,-276325,-276325,-276325,-276325,0,11342234,7508211920007718833589
2026-07-27 01:37:00,-750812231009359422965,750759051,-276325,-276325,-276325,-276325,0,750759051,7508211920007718833589
2026-07-27 01:42:00,-271960622836917481716,271941323,-276325,-276325,-276325,-276325,0,271941323,7508211920007718833589
2026-07-27 01:43:00,-1963656810955609239061,1963516875,-276325,-276325,-276325,-276325,0,1963516875,7508211920007718833589
2026-07-27 01:44:00,-3824128456357607232418,3823852991,-276325,-276325,-276325,-276325,0,3823852991,7508211920007718833589
2026-07-27 01:45:00,-2714674859619321451632,2714476947,-276325,-276325,-276325,-276325,0,2714476947,7508211920007718833589
2026-07-27 01:47:00,47351769405982947408214,-47353598716,-276325,-276325,-276325,-276325,100002397332790944851458,52646401284,7508211920007718833589
2026-07-27 01:48:00,-78231791000832897283,78227045,-276325,-276325,-276325,-276325,0,78227045,7508211920007718833589
2026-07-27 01:49:00,-219580094368746910204,219566764,-276325,-276325,-276325,-276325,0,219566764,7508211920007718833589
2026-07-27 01:53:00,-9669683301000000000,9669096,-276325,-276325,-276325,-276325,0,9669096,7508211920007718833589
2026-07-27 01:54:00,-1561267329653015346525,1561172181,-276325,-276325,-276325,-276325,0,1561172181,7508211920007718833589
2026-07-27 01:55:00,-75214222844543559958,75209622,-276325,-276325,-276325,-276325,0,75209622,7508211920007718833589
2026-07-27 01:57:00,-59235966717805502880,59232342,-276325,-276325,-276325,-276325,0,59232342,7508211920007718833589
2026-07-27 01:59:00,-86890731206867712992,86885413,-276325,-276325,-276325,-276325,0,86885413,7508211920007718833589
2026-07-27 02:01:00,-6825717201630051386242,6825293195,-276325,-276325,-276325,-276325,0,6825293195,7508211920007718833589
2026-07-27 02:03:00,-114229345875587173811,114222144,-276325,-276325,-276325,-276325,0,114222144,7508211920007718833589
2026-07-27 02:06:00,-223430844880594915253,223416749,-276325,-276325,-276325,-276325,0,223416749,7508211920007718833589
2026-07-27 02:07:00,-30616374226661093688,30614441,-276325,-276325,-276325,-276325,0,30614441,7508211920007718833589
2026-07-27 02:08:00,-173746847382564215471,173735875,-276325,-276325,-276325,-276325,0,173735875,7508211920007718833589
2026-07-27 02:09:00,-103667139013251832480813,103659158961,-276325,-276325,-276325,-276325,0,103659158961,7508211920007718833589
2026-07-27 02:10:00,30001103744165150009994,-30000000000,-276325,-276325,-276325,-276325,30001103744165150009994,0,7508211920007718833589
2026-07-27 02:11:00,100001947662284820539542,-100000000000,-276325,-276325,-276325,-276325,100001947662284820539542,0,7508211920007718833589
2026-07-27 02:14:00,-406569745090426170647,406546891,-276325,-276325,-276325,-276325,0,406546891,7508211920007718833589
2026-07-27 02:16:00,-2840917869577441933113,2840756949,-276325,-276325,-276325,-276325,0,2840756949,7508211920007718833589
2026-07-27 02:17:00,-61530473378393783516214,61517210609,-276325,-276325,-276326,-276325,185008890132785551804053,246517210609,7508211920007718833589
2026-07-27 02:19:00,45602869410534583547094,-45602093385,-276325,-276325,-276325,-276325,45894869410534583547094,291978553,7508211920007718833589
2026-07-27 02:20:00,-104365290000000000000,104358894,-276325,-276325,-276325,-276325,0,104358894,7508211920007718833589
2026-07-27 02:24:00,-790052467121162210355,790003981,-276325,-276325,-276325,-276325,0,790003981,9865663608738631889872
2026-07-27 02:25:00,22908718452471207336650,-22908513847,-276325,-276325,-276325,-276325,22999554488545129756607,90830453,9865663608738631889872
