amount0,amount1,liquidity,tick,timestamp
636123353817585255142,-636095217,22623204279420126358,-276325,2026-07-17 23:36:11.000 UTC
-167913930895122835917,167901583,22623204279420126358,-276325,2026-07-17 23:36:47.000 UTC
-12899950975152439289,12898899,22623204279420126358,-276325,2026-07-17 23:39:47.000 UTC
-1229808481799768721840,1229699971,200394449447730541937,-276325,2026-07-18 00:18:47.000 UTC
-130456489776962965558,130444093,200394449447730541937,-276325,2026-07-18 00:20:59.000 UTC
-1687406162019347988,1687244,200394449447730541937,-276325,2026-07-18 00:32:11.000 UTC
-11726093244438463059,11724970,200394449447730541937,-276325,2026-07-18 00:32:47.000 UTC
4998461301195002963516,-4998357000,200394449447730541937,-276325,2026-07-18 00:42:35.000 UTC
-589334244700154250639,589305447,200394449447730541937,-276325,2026-07-18 00:58:23.000 UTC
-89994822287363350154,89990119,200394449447730541937,-276325,2026-07-18 01:12:35.000 UTC
-5598143865761469499,5597848,200394449447730541937,-276325,2026-07-18 01:12:59.000 UTC
-37955052541875000000,37953042,200394449447730541937,-276325,2026-07-18 01:19:23.000 UTC
-911210916110752170,911162,200394449447730541937,-276325,2026-07-18 01:20:47.000 UTC
-510097011000000000000,510068602,200394449447730541937,-276325,2026-07-18 01:29:11.000 UTC
487948074475819160391,-487945243,200394449447730541937,-276325,2026-07-18 01:51:47.000 UTC
-3063348448135630986,3063182,200394449447730541937,-276325,2026-07-18 01:57:59.000 UTC
-88392815833492102754,88388059,200394449447730541937,-276325,2026-07-18 01:57:59.000 UTC
-1999895608014541065076,1999767096,200394449447730541937,-276325,2026-07-18 02:00:59.000 UTC
-2221396964945314480619,2221152370,200394449447730541937,-276325,2026-07-18 02:06:23.000 UTC
-2483949201453278347139,2483734012,200394449447730541937,-276325,2026-07-18 02:06:23.000 UTC
4217711520125704086466,-4217500000,200394449447730541937,-276325,2026-07-18 02:06:35.000 UTC
-5293917926207318723678,5293359331,200394449447730541937,-276326,2026-07-18 02:09:11.000 UTC
6330428586964939164039,-6330109868,200394449447730541937,-276325,2026-07-18 02:09:23.000 UTC
-2459631294743978326345,2459431989,200394449447730541937,-276325,2026-07-18 02:22:23.000 UTC
4508692862006964340,-4508498,200394449447730541937,-276325,2026-07-18 03:05:59.000 UTC
-249953020000000000000,249929398,200394449447730541937,-276325,2026-07-18 03:21:35.000 UTC
-500000000000000000,499952,200394449447730541937,-276325,2026-07-18 03:21:59.000 UTC
56951524629622421785,-56948935,200394449447730541937,-276325,2026-07-18 03:50:11.000 UTC
-4318250000000000000000,4317745915,200394449447730541937,-276326,2026-07-18 03:56:23.000 UTC
5815401479571097818441,-5815056821,200394449447730541937,-276325,2026-07-18 03:56:35.000 UTC
2500044436566744734011,-2500000000,200394449447730541937,-276325,2026-07-18 03:57:23.000 UTC
-58746412080070391755,58743146,200394449447730541937,-276325,2026-07-18 03:57:35.000 UTC
-6525333125000000000000,6524756006,200394449447730541937,-276325,2026-07-18 03:57:59.000 UTC
4999730271968409464348,-4999500000,200394449447730541937,-276325,2026-07-18 03:58:11.000 UTC
-243845408726378293814,243827772,200394449447730541937,-276325,2026-07-18 04:05:47.000 UTC
-1800180970783825461248,1800032414,200394449447730541937,-276325,2026-07-18 04:06:23.000 UTC
-32400000000000000000,32397030,200394449447730541937,-276325,2026-07-18 04:09:59.000 UTC
-8000000000000000000000,7998946065,200394449447730541937,-276326,2026-07-18 04:13:35.000 UTC
7500631832221378183441,-7500000000,200394449447730541937,-276325,2026-07-18 04:13:47.000 UTC
148709114635471551595,-148702264,200394449447730541937,-276325,2026-07-18 04:23:47.000 UTC
4000301477189759952280,-4000200000,200394449447730541937,-276325,2026-07-18 04:43:35.000 UTC
-48690853108159487948,48688143,200394449447730541937,-276325,2026-07-18 04:49:23.000 UTC
-75875404000671794,75871,200394449447730541937,-276325,2026-07-18 04:57:35.000 UTC
-14419272091640977116,14418465,200394449447730541937,-276325,2026-07-18 04:59:11.000 UTC
-1342442311949449986143,1342358095,200394449447730541937,-276325,2026-07-18 05:00:23.000 UTC
-2975627061135882526,2975420,200394449447730541937,-276325,2026-07-18 05:10:11.000 UTC
-14507050584750161456,14506041,200394449447730541937,-276325,2026-07-18 05:18:23.000 UTC
-2998800000000000000000,2998546393,200394449447730541937,-276325,2026-07-18 05:39:23.000 UTC
4047018736012099932158,-4046899994,200394449447730541937,-276325,2026-07-18 05:42:59.000 UTC
-6750000000000000000000,6749373435,200394449447730541937,-276326,2026-07-18 05:48:23.000 UTC
4597746280558789175548,-4597500000,200394449447730541937,-276325,2026-07-18 05:48:47.000 UTC
-13104981123687219050,13103924,391573573255249397412,-276325,2026-07-18 05:54:47.000 UTC
-4172960000000000000000,4172578824,391573573255249397412,-276325,2026-07-18 05:56:35.000 UTC
-484191402947772416,484142,400646557783926642559,-276325,2026-07-18 06:10:35.000 UTC
183437475945618961266,-183428021,400646557783926642559,-276325,2026-07-18 06:10:35.000 UTC
9540260246689184807747,-9540000000,400646557783926642559,-276325,2026-07-18 06:13:35.000 UTC
-49722450853610084918,49719786,400646557783926642559,-276325,2026-07-18 06:18:59.000 UTC
-5653902594155209726,5653598,400646557783926642559,-276325,2026-07-18 06:28:23.000 UTC
-7363206770703549921,7362810,400646557783926642559,-276325,2026-07-18 06:30:47.000 UTC
-4631129951724086908063,4630827363,400646557783926642559,-276325,2026-07-18 06:40:47.000 UTC
-7534971015970000564079,7534249919,400646557783926642559,-276325,2026-07-18 06:49:23.000 UTC
5575282072215856514480,-5575000000,400646557783926642559,-276325,2026-07-18 06:49:35.000 UTC
-223034983157830427435,223015527,400646557783926642559,-276325,2026-07-18 06:56:23.000 UTC
5000126566254138258328,-5000000000,400646557783926642559,-276325,2026-07-18 06:59:23.000 UTC
-26930622939908000000,26928929,400646557783926642559,-276325,2026-07-18 07:04:47.000 UTC
-54494856924962483015,54491418,400646557783926642559,-276325,2026-07-18 07:04:59.000 UTC
-133643889315604950599,133635393,400646557783926642559,-276325,2026-07-18 07:14:47.000 UTC
-254942929139795757136,254912590,400646557783926642559,-276325,2026-07-18 07:22:23.000 UTC
-10910939358275425345235,10909944991,400646557783926642559,-276325,2026-07-18 07:22:23.000 UTC
-1917352973082215647,1917123,400646557783926642559,-276325,2026-07-18 07:23:35.000 UTC
10942963314278028617109,-10942500000,400646557783926642559,-276325,2026-07-18 07:34:47.000 UTC
-23973615613002360309,23972055,400646557783926642559,-276325,2026-07-18 07:40:35.000 UTC
-6807074329000000000,6806630,400646557783926642559,-276325,2026-07-18 07:51:47.000 UTC
-7456397177498385000000,7455772418,400646557783926642559,-276325,2026-07-18 07:53:47.000 UTC
-3243602822501615000000,3243244433,400646557783926642559,-276325,2026-07-18 07:57:35.000 UTC
7927658495680330420378,-7927271593,400646557783926642559,-276325,2026-07-18 08:11:11.000 UTC
4114073504450389632492,-4113996364,400646557783926642559,-276325,2026-07-18 08:16:59.000 UTC
7233155753233687348657,-7233224985,400646557783926642559,-276325,2026-07-18 08:17:23.000 UTC
-1539889730025667043138,1539849356,400646557783926642559,-276325,2026-07-18 08:17:59.000 UTC
-2999991115052547027939,2999878466,400646557783926642559,-276325,2026-07-18 08:19:59.000 UTC
