timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2026-04-09 00:22:00,-140000000000000000000,139972824,-276326,-276326,-276326,-276326,0,139972824,22229368691225393013093
2026-04-09 00:26:00,-442890000000000000000,442804018,-276326,-276326,-276326,-276326,0,442804018,22229368691225393013093
2026-04-09 00:43:00,-208809878904458901098,208769334,-276326,-276326,-276326,-276326,0,208769334,22229368691225393013093
2026-04-09 00:49:00,63726617390927519445422,-63720160515,-276326,-276326,-276326,-276326,63726617390927519445422,0,22229368691225393013093
2026-04-09 00:51:00,-184163190603160670269,184128484,-276326,-276326,-276326,-276326,0,184128484,22229368691225393013093
2026-04-09 01:05:00,42479084159150052594038,-42474982330,-276326,-276326,-276326,-276326,42479084159150052594038,0,22229368691225393013093
2026-04-09 01:07:00,-3644548560908140712398,3643800936,-276326,-276326,-276326,-276326,823389524792943588224,4467112558,22229368691225393013093
2026-04-09 01:08:00,-11605617101332242561551,11603464377,-276326,-276326,-276326,-276326,0,11603464377,22229368691225393013093
2026-04-09 01:09:00,-407445049829796617806,407369252,-276326,-276326,-276326,-276326,0,407369252,22229368691225393013093
2026-04-09 01:16:00,-265314695170540026711552,265262168196,-276326,-276326,-276326,-276326,0,265262168196,22229368691225393013093
2026-04-09 01:27:00,-466982099824175346882,466884065,-276326,-276326,-276326,-276326,0,466884065,22229368691225393013093
2026-04-09 01:31:00,-14264762425490580000000,14261758340,-276326,-276326,-276326,-276326,0,14261758340,22229368691225393013093
2026-04-09 01:34:00,10900288413536750622315,-10898972106,-276326,-276326,-276326,-276326,10900288413536750622315,0,22229368691225393013093
2026-04-09 01:36:00,45005321634013873462862,-45000000000,-276326,-276326,-276326,-276326,45005321634013873462862,0,22229368691225393013093
2026-04-09 01:37:00,152748905468219510204576,-152732202349,-276326,-276326,-276326,-276326,152748905468219510204576,0,22229368691225393013093
2026-04-09 01:42:00,22120756882186663189965,-22118511958,-276326,-276326,-276326,-276326,22120756882186663189965,0,22229368691225393013093
2026-04-09 01:43:00,72806541582548256538907,-72799463667,-276326,-276326,-276326,-276326,72806541582548256538907,0,22229368691225393013093
2026-04-09 01:44:00,69365293784826709709420,-69358993977,-276326,-276326,-276326,-276326,69365293784826709709420,0,22229368691225393013093
2026-04-09 01:45:00,112300663882274279837947,-112291382273,-276326,-276326,-276326,-276326,112300663882274279837947,0,22229368691225393013093
2026-04-09 01:46:00,108057400687244220839922,-108049540797,-276326,-276326,-276326,-276326,108057400687244220839922,0,22229368691225393013093
2026-04-09 01:48:00,32312708277010617972423,-32310561929,-276326,-276326,-276326,-276326,32312708277010617972423,0,22229368691225393013093
2026-04-09 01:49:00,26396577622380999196870,-26394893956,-276326,-276326,-276326,-276326,26396577622380999196870,0,22229368691225393013093
2026-04-09 01:50:00,-279996405951029055858756,279944756056,-276326,-276326,-276326,-276326,60003594048970944141244,339944756056,22229368691225393013093
2026-04-09 01:55:00,97607980022424511569089,-97599840228,-276326,-276326,-276326,-276326,97607980022424511569089,0,22229368691225393013093
2026-04-09 01:59:00,-105000000000000000000000,104981759880,-276326,-276326,-276326,-276326,0,104981759880,22229368691225393013093
2026-04-09 02:01:00,-154541595020235566531117,154512944919,-276326,-276326,-276326,-276326,0,154512944919,22229368691225393013093
2026-04-09 02:10:00,79077498689053940051642,-79069770179,-276326,-276326,-276326,-276326,80007900805205429591749,930229821,22229368691225393013093
2026-04-09 02:18:00,-185000000000000000000000,184964194254,-276326,-276326,-276326,-276326,0,184964194254,22229368691225393013093
